Index,Hogwarts House
0,Ravenclaw
1,Ravenclaw
2,Gryffindor
3,Gryffindor
4,Hufflepuff
5,Ravenclaw
6,Ravenclaw
7,Ravenclaw
8,Hufflepuff
9,Ravenclaw
10,Ravenclaw
11,Gryffindor
12,Gryffindor
13,Gryffindor
14,Hufflepuff
15,Slytherin
16,Gryffindor
17,Hufflepuff
18,Slytherin
19,Gryffindor
20,Hufflepuff
21,Ravenclaw
22,Hufflepuff
23,Gryffindor
24,Hufflepuff
25,Hufflepuff
26,Ravenclaw
27,Slytherin
28,Ravenclaw
29,Gryffindor
30,Hufflepuff
31,Ravenclaw
32,Hufflepuff
33,Ravenclaw
34,Hufflepuff
35,Ravenclaw
36,Hufflepuff
37,Slytherin
38,Slytherin
39,Hufflepuff
40,Ravenclaw
41,Gryffindor
42,Hufflepuff
43,Ravenclaw
44,Hufflepuff
45,Ravenclaw
46,Ravenclaw
47,Slytherin
48,Hufflepuff
49,Slytherin
50,Slytherin
51,Hufflepuff
52,Hufflepuff
53,Ravenclaw
54,Hufflepuff
55,Ravenclaw
56,Gryffindor
57,Slytherin
58,Hufflepuff
59,Gryffindor
60,Ravenclaw
61,Slytherin
62,Gryffindor
63,Ravenclaw
64,Slytherin
65,Hufflepuff
66,Slytherin
67,Ravenclaw
68,Gryffindor
69,Gryffindor
70,Slytherin
71,Slytherin
72,Hufflepuff
73,Ravenclaw
74,Hufflepuff
75,Slytherin
76,Slytherin
77,Ravenclaw
78,Ravenclaw
79,Ravenclaw
80,Gryffindor
81,Ravenclaw
82,Slytherin
83,Gryffindor
84,Hufflepuff
85,Slytherin
86,Ravenclaw
87,Gryffindor
88,Ravenclaw
89,Ravenclaw
90,Ravenclaw
91,Hufflepuff
92,Hufflepuff
93,Ravenclaw
94,Gryffindor
95,Hufflepuff
96,Gryffindor
97,Hufflepuff
98,Ravenclaw
99,Hufflepuff
100,Gryffindor
101,Ravenclaw
102,Slytherin
103,Slytherin
104,Ravenclaw
105,Hufflepuff
106,Gryffindor
107,Ravenclaw
108,Hufflepuff
109,Ravenclaw
110,Gryffindor
111,Gryffindor
112,Slytherin
113,Slytherin
114,Ravenclaw
115,Ravenclaw
116,Ravenclaw
117,Hufflepuff
118,Gryffindor
119,Hufflepuff
120,Gryffindor
121,Hufflepuff
122,Slytherin
123,Gryffindor
124,Gryffindor
125,Gryffindor
126,Hufflepuff
127,Hufflepuff
128,Gryffindor
129,Gryffindor
130,Hufflepuff
131,Hufflepuff
132,Ravenclaw
133,Ravenclaw
134,Ravenclaw
135,Slytherin
136,Hufflepuff
137,Hufflepuff
138,Ravenclaw
139,Slytherin
140,Gryffindor
141,Slytherin
142,Gryffindor
143,Ravenclaw
144,Hufflepuff
145,Gryffindor
146,Hufflepuff
147,Ravenclaw
148,Gryffindor
149,Ravenclaw
150,Gryffindor
151,Hufflepuff
152,Ravenclaw
153,Ravenclaw
154,Slytherin
155,Ravenclaw
156,Hufflepuff
157,Hufflepuff
158,Gryffindor
159,Hufflepuff
160,Hufflepuff
161,Ravenclaw
162,Hufflepuff
163,Slytherin
164,Ravenclaw
165,Gryffindor
166,Ravenclaw
167,Ravenclaw
168,Slytherin
169,Hufflepuff
170,Hufflepuff
171,Ravenclaw
172,Hufflepuff
173,Slytherin
174,Gryffindor
175,Gryffindor
176,Gryffindor
177,Slytherin
178,Gryffindor
179,Ravenclaw
180,Slytherin
181,Gryffindor
182,Slytherin
183,Hufflepuff
184,Gryffindor
185,Ravenclaw
186,Ravenclaw
187,Slytherin
188,Hufflepuff
189,Hufflepuff
190,Ravenclaw
